id,símbolo,nombre,precio_usd,market_cap_usd,volumen_24h_usd,variación_24h_pct
aave-amm-unibatweth,aammunibatweth,Aave AMM UniBATWETH,55.23,0.0,0.0,2.36328
4tb-coin,4tb,4TB Coin,0.00059007,0.0,208.02,-0.00106
aave-v3-lusd,alusd,Aave v3 LUSD,1.002,0.0,0.0,-0.02086
aave-amm-unisnxweth,aammunisnxweth,Aave AMM UniSNXWETH,187.78,0.0,0.0,2.37756
aave-amm-unimkrweth,aammunimkrweth,Aave AMM UniMKRWETH,6830.67,0.0,0.0,2.24716
aave-busd-v1,abusd,Aave BUSD v1,0.997456,0.0,0.0,0.07005
99starz,stz,99Starz,0.00811699,0.0,60023.0,-1.83685
21x,21x,21X Diamonds,6.32384e-07,0.0,5.97,0.3666
aisui,suiagent,aiSUI,0.00023724,0.0,67135.0,-0.84318
aftermath-staked-sui,afsui,Aftermath Staked SUI,2.93,0.0,1215271.0,-0.3589
0dog,0dog,Bitcoin Dogs,4.279e-05,0.0,64988.0,-14.74737
aave-busd,abusd,Aave BUSD,0.997456,0.0,0.0,0.07005
aave-bat,abat,Aave BAT,0.129545,0.0,0.0,1.37217
ago,ago,ago,0.00067976,0.0,42.65,0.75394
aga-rewards,edc,Edcoin,0.02863387,0.0,42813.0,0.10779
aave-knc,aknc,Aave KNC,0.288521,0.0,0.0,-1.87016
aave-v3-stmatic,astmatic,Aave v3 stMATIC,0.221607,0.0,0.0,7.24744
0xcoco,coco,0xCoco,0.00033911,0.0,561.09,
1inch-yvault,yv1inch,1INCH yVault,0.192666,0.0,0.0,0.09533
acryptos-2,acs,ACryptoS,0.165956,0.0,1.98,
aave-usdt,ausdt,Aave USDT,0.999516,0.0,13270.63,0.07678
aicrew,aicr,AICrew,0.0225336,0.0,2.23,
aiptp,atmt,AiPTP,0.00077879,0.0,5.13,0.6156
affinity,afnty,Affinity,3.80272e-07,0.0,4.67,
aave-polygon-dai,amdai,Aave Polygon DAI,1.001,0.0,669456.0,0.12252
abyss-world,awt,Abyss World,1.955e-05,0.0,55658.0,-11.42286
aave-mana-v1,amana,Aave MANA v1,0.254448,0.0,0.0,1.23067
aave-amm-usdt,aammusdt,Aave AMM USDT,0.999516,0.0,0.0,-0.07012
aave-susd-v1,asusd,Aave SUSD v1,0.938833,0.0,0.0,0.13915
agility,agi,Agility,0.00090025,0.0,7.72,
aave-amm-unirenweth,aammunirenweth,Aave AMM UniRENWETH,29.54,0.0,0.0,2.67749
aave-v3-bal,abal,Aave v3 BAL,0.984498,0.0,0.0,1.04968
aave-v3-1inch,a1inch,Aave v3 1INCH,0.178865,0.0,0.0,-0.15278
adroverse,adr,Adroverse,5.97e-06,0.0,5.37524e-07,
aave-polygon-weth,amweth,Aave Polygon WETH,2517.47,0.0,0.0,3.35195
